,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),Date,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,2429,49,1/1/19,44131,297823,22145
1,1062,36,1/2/19,58975,297908,38249
2,969,31,1/3/19,62500,297976,42181
3,1173,33,1/4/19,65739,298017,44420
4,462,8,1/5/19,24326,298048,17636
5,1711,31,1/6/19,50481,298094,31764
6,514,18,1/7/19,52310,298152,36928
7,654,23,1/8/19,60469,298218,41728
8,646,23,1/9/19,63480,298263,44882
9,478,13,1/10/19,53225,298299,39449
10,465,23,1/11/19,44226,298331,33196
11,772,26,1/12/19,35133,298361,25431
12,700,18,1/13/19,33018,298399,23020
13,402,9,1/14/19,48021,298439,35408
14,511,19,1/15/19,54751,298470,39538
15,513,7,1/16/19,56553,298510,40854
16,463,14,1/17/19,53430,298546,39417
17,542,27,1/18/19,47215,298574,34478
18,865,28,1/19/19,34580,298595,23933
19,368,8,1/20/19,19131,298616,14440
20,141,5,1/21/19,11911,298632,10392
21,315,14,1/22/19,37788,298665,28913
22,526,10,1/23/19,59442,298692,42028
23,260,7,1/24/19,27931,298721,20328
24,621,21,1/25/19,54567,298748,39298
25,933,18,1/26/19,38634,298778,26607
26,1510,19,1/27/19,48280,298828,30338
27,448,13,1/28/19,49109,298878,36173
28,341,12,1/29/19,42066,298919,31355
29,263,8,1/30/19,33178,298947,25496
30,186,8,1/31/19,22917,298975,18882
31,255,11,2/1/19,31752,298998,25289
32,627,19,2/2/19,30802,299032,22280
33,1743,24,2/3/19,52757,299103,32274
34,1180,42,2/4/19,73262,299172,47049
35,1770,42,2/5/19,87917,299249,54710
36,754,27,2/6/19,55696,299296,39616
37,765,22,2/7/19,62728,299341,43840
38,864,22,2/8/19,52442,299383,36964
39,811,10,2/9/19,33607,299409,24041
40,935,6,2/10/19,35873,299449,24434
41,563,20,2/11/19,54362,299493,39197
42,150,4,2/12/19,22190,299521,16044
43,439,21,2/13/19,48870,299551,35523
44,773,26,2/14/19,61381,299589,42313
45,1590,58,2/15/19,74286,299633,47524
46,2030,58,2/16/19,52760,299683,31347
47,1439,30,2/17/19,39660,299711,24287
48,810,17,2/18/19,37500,299757,26176
49,595,10,2/19/19,49024,299810,35226
50,221,15,2/20/19,28763,299835,20694
51,961,37,2/21/19,60375,299871,40082
52,1097,49,2/22/19,61956,299913,42338
53,1635,28,2/23/19,49887,299956,31956
54,992,19,2/24/19,37473,299993,24503
55,495,14,2/25/19,47207,300029,34736
56,524,23,2/26/19,52805,300067,38126
57,464,27,2/27/19,48666,300097,37028
58,652,30,2/28/19,53031,300157,38784
59,522,26,3/1/19,41583,300183,30242
60,570,25,3/2/19,27381,300213,18001
61,1115,22,3/3/19,35764,300264,23240
62,563,23,3/4/19,39154,300319,28424
63,552,24,3/5/19,50155,300367,37103
64,376,27,3/6/19,42845,300409,33287
65,468,15,3/7/19,46582,300450,35913
66,852,32,3/8/19,55748,300503,40416
67,3010,35,3/9/19,68739,300574,38929
68,662,16,3/10/19,28056,300611,18897
69,1749,56,3/11/19,80705,300691,52412
70,1003,40,3/12/19,66518,300757,47214
71,1194,42,3/13/19,71556,300825,50121
72,1826,82,3/14/19,86864,300904,57476
73,2843,119,3/15/19,95073,300987,57517
74,3369,97,3/16/19,74307,301086,42144
75,2755,73,3/17/19,64440,301187,36826
76,1361,54,3/18/19,68775,301278,46535
77,1602,49,3/19/19,78320,301381,52997
78,1723,58,3/20/19,83442,301476,55396
79,342,14,3/21/19,27005,301520,21248
80,1076,51,3/22/19,49691,301579,35477
81,2693,74,3/23/19,61407,301671,37379
82,5896,79,3/24/19,100843,301827,50318
83,1562,64,3/25/19,79824,301952,53463
84,1715,49,3/26/19,81425,302083,55421
85,1583,56,3/27/19,78975,302176,54483
86,1966,87,3/28/19,87465,302430,58538
87,2573,103,3/29/19,91975,302587,59324
88,9151,135,3/30/19,144759,302941,66672
89,1916,52,3/31/19,52486,303060,32768
0,4209,211,7/1/18,120484,274813,45265
1,2702,241,7/2/18,130122,275016,58633
2,2358,199,7/3/18,113998,275157,54882
3,5662,250,7/4/18,136287,275304,48368
4,3344,264,7/5/18,133659,275487,59471
5,2650,189,7/6/18,111660,275614,49504
6,7284,349,7/7/18,173852,275793,60916
7,6667,310,7/8/18,171826,275988,60486
8,3103,283,7/9/18,153650,276203,70063
9,2999,227,7/10/18,147441,276399,72501
10,3049,170,7/11/18,163349,276553,73011
11,3520,231,7/12/18,161182,276703,74857
12,3998,294,7/13/18,156285,276858,72113
13,7241,334,7/14/18,157266,277000,62556
14,5121,248,7/15/18,132234,277133,52295
15,3101,278,7/16/18,146307,277344,67072
16,1558,129,7/17/18,97913,277466,48495
17,3578,247,7/18/18,169481,277703,75706
18,3938,280,7/19/18,141327,277891,78004
19,4590,275,7/20/18,136511,278052,74539
20,6266,309,7/21/18,114977,278195,53651
21,4316,244,7/22/18,87253,278338,44284
22,2277,152,7/23/18,88170,278458,53074
23,2957,162,7/24/18,117924,278651,69754
24,1474,124,7/25/18,66587,278742,42988
25,3321,252,7/26/18,122885,278874,71065
26,2526,251,7/27/18,82987,278993,49224
27,7004,361,7/28/18,129505,279147,61543
28,7244,250,7/29/18,137343,279321,63472
29,3490,333,7/30/18,123639,279509,69512
30,3637,246,7/31/18,134233,279702,76253
31,2673,185,8/1/18,106881,279888,64467
32,2998,217,8/2/18,118282,280110,69711
33,3145,247,8/3/18,105765,280279,61962
34,5352,198,8/4/18,104541,280498,51200
35,6289,309,8/5/18,122656,280721,58379
36,3022,281,8/6/18,112585,280922,65686
37,2640,201,8/7/18,106678,281097,64351
38,2911,267,8/8/18,120473,281275,70577
39,3379,238,8/9/18,124150,281441,71976
40,4266,280,8/10/18,123534,281572,69617
41,2994,141,8/11/18,69505,281689,36607
42,6407,281,8/12/18,125265,281881,59834
43,1563,82,8/13/18,70501,281991,44273
44,2592,211,8/14/18,107144,282169,63733
45,3565,266,8/15/18,128453,282317,73124
46,3511,276,8/16/18,123444,282471,70825
47,3563,232,8/17/18,109405,282583,63316
48,6672,351,8/18/18,125508,282795,57284
49,3926,155,8/19/18,86651,282943,45874
50,3312,224,8/20/18,118793,283162,67589
51,3683,257,8/21/18,132261,283358,75214
52,3366,225,8/22/18,125978,283543,72614
53,3975,331,8/23/18,130310,283720,73877
54,4794,320,8/24/18,132952,283884,72894
55,7535,345,8/25/18,140537,284066,64683
56,6928,302,8/26/18,132223,284268,60954
57,3350,242,8/27/18,116967,284457,67630
58,2814,150,8/28/18,110486,284667,66638
59,2766,171,8/29/18,107006,284791,65903
60,3218,164,8/30/18,113385,284938,67900
61,3186,180,8/31/18,97818,285087,58922
62,6711,439,9/1/18,116904,285245,54318
63,5562,292,9/2/18,140923,285368,60828
64,6239,279,9/3/18,117164,285609,55067
65,2793,215,9/4/18,114264,285867,68655
66,2934,191,9/5/18,124919,286102,74981
67,2678,207,9/6/18,113123,286304,70264
68,3523,227,9/7/18,127470,286475,74586
69,5442,270,9/8/18,111254,286637,58284
70,895,16,9/9/18,30544,286752,19950
71,463,26,9/10/18,32472,286847,23949
72,2456,193,9/11/18,109380,286985,66552
73,1650,115,9/12/18,82748,287120,53241
74,2874,197,9/13/18,123401,287262,74054
75,3623,298,9/14/18,128288,287412,74330
76,7570,353,9/15/18,149524,287622,71185
77,7410,270,9/16/18,150281,287897,69515
78,2914,162,9/17/18,118809,288137,71340
79,1433,74,9/18/18,82768,288266,53077
80,3529,290,9/19/18,129089,288450,74372
81,3130,235,9/20/18,129385,288599,76803
82,3677,224,9/21/18,128273,288719,74940
83,7511,298,9/22/18,142121,289160,69133
84,4716,184,9/23/18,104944,289370,55494
85,2615,289,9/24/18,115888,289524,71631
86,506,65,9/25/18,35795,289591,25430
87,2423,296,9/26/18,110772,289698,68007
88,3044,399,9/27/18,126480,289829,75370
89,1986,296,9/28/18,90249,289911,57230
90,6960,906,9/29/18,145920,290170,69321
91,6367,675,9/30/18,139423,290467,66224
0,1466,76,4/1/19,75072,303223,51399
1,1483,73,4/2/19,83399,303386,57903
2,3013,79,4/3/19,108780,303552,67924
3,2633,87,4/4/19,104268,303699,66403
4,812,46,4/5/19,46930,303766,34470
5,8852,139,4/6/19,143054,303958,66532
6,8191,87,4/7/19,138291,304216,64713
7,3804,89,4/8/19,123304,304525,70514
8,1684,79,4/9/19,86248,304677,59336
9,2845,116,4/10/19,112985,304865,70988
10,2222,93,4/11/19,93232,305003,62430
11,2811,118,4/12/19,92517,305134,58010
12,10443,128,4/13/19,159264,305362,71500
13,7263,119,4/14/19,123470,305584,58474
14,1816,75,4/15/19,71673,305722,45663
15,3197,134,4/16/19,106799,305906,63323
16,3276,89,4/17/19,109668,306077,65249
17,2845,104,4/18/19,98909,306205,61568
18,5782,271,4/19/19,120796,306365,64939
19,4049,115,4/20/19,68489,306453,36785
20,7439,140,4/21/19,114490,306647,51869
21,3426,69,4/22/19,71869,306827,44112
22,5928,202,4/23/19,143334,307082,75443
23,5868,135,4/24/19,144473,307320,77736
24,3569,114,4/25/19,101124,307484,60834
25,1387,76,4/26/19,55000,307578,37121
26,7022,151,4/27/19,111440,307737,56442
27,3338,87,4/28/19,68976,307862,41204
28,2829,104,4/29/19,98707,308020,60801
29,2715,94,4/30/19,99225,308192,62668
30,2285,106,5/1/19,93434,308383,60904
31,3763,171,5/2/19,115573,308575,68714
32,3452,151,5/3/19,100885,308738,62410
33,7286,110,5/4/19,114113,308919,56025
34,802,16,5/5/19,25232,308988,16169
35,4178,166,5/6/19,121887,309187,69920
36,4055,124,5/7/19,126637,309356,72829
37,4255,131,5/8/19,130821,309530,76398
38,2851,130,5/9/19,105721,309646,66689
39,4427,163,5/10/19,114830,309790,68044
40,10581,133,5/11/19,153674,310021,69788
41,475,9,5/12/19,15759,310063,10730
42,553,19,5/13/19,29434,310141,22300
43,1301,73,5/14/19,61756,310248,42783
44,4484,140,5/15/19,129217,310395,74314
45,5354,174,5/16/19,139278,310590,77889
46,5124,167,5/17/19,126992,310760,72118
47,11292,227,5/18/19,162302,310992,73143
48,10321,193,5/19/19,154638,311245,69920
49,5225,173,5/20/19,133696,311495,74494
50,5088,160,5/21/19,139284,311686,79261
51,5431,153,5/22/19,144186,311888,82021
52,3527,121,5/23/19,93244,312082,56578
53,7322,245,5/24/19,141169,312276,74866
54,10682,279,5/25/19,136772,312484,59492
55,9325,145,5/26/19,118192,312648,49950
56,12124,136,5/27/19,160750,312896,66595
57,2992,96,5/28/19,97330,313092,59435
58,2952,111,5/29/19,87647,313251,55098
59,2831,129,5/30/19,84325,313402,52484
60,7586,261,5/31/19,156832,313606,83347
61,12153,214,6/1/19,164956,313815,76416
62,10419,144,6/2/19,147247,314051,67288
63,6027,152,6/3/19,141960,314327,77678
64,6422,168,6/4/19,150076,314642,83301
65,5166,143,6/5/19,134998,314889,78791
66,6138,183,6/6/19,143619,315121,81323
67,7530,256,6/7/19,150312,315337,82908
68,13831,206,6/8/19,175352,315583,78074
69,12833,121,6/9/19,167597,315861,73954
70,1566,44,6/10/19,54769,316007,37019
0,2618,307,10/1/18,120257,290631,71387
1,2666,195,10/2/18,122234,290788,73113
2,3141,199,10/3/18,129720,290947,76769
3,2838,222,10/4/18,116337,291073,70698
4,3979,254,10/5/18,129597,291166,74744
5,5658,310,10/6/18,110421,291298,57599
6,6936,277,10/7/18,127033,291425,60753
7,2865,121,10/8/18,95097,291549,58256
8,2846,207,10/9/18,123973,291672,74251
9,3115,202,10/10/18,132255,291765,77317
10,1323,59,10/11/18,70173,291862,46862
11,3453,255,10/12/18,113055,291962,67686
12,2430,125,10/13/18,100652,292029,54747
13,4805,204,10/14/18,103697,292158,54297
14,1958,95,10/15/18,92219,292262,59181
15,2200,158,10/16/18,104171,292370,66661
16,2341,134,10/17/18,107762,292469,67868
17,1969,143,10/18/18,94356,292519,61668
18,3012,192,10/19/18,105730,292604,64735
19,5644,309,10/20/18,109142,292711,56281
20,2488,100,10/21/18,64764,292811,39192
21,1721,133,10/22/18,88293,292899,57919
22,2356,181,10/23/18,110293,292992,68086
23,1942,97,10/24/18,98615,293077,64203
24,2003,146,10/25/18,95827,293309,61637
25,2292,131,10/26/18,92569,293508,59861
26,333,11,10/27/18,17949,293542,13124
27,3134,154,10/28/18,74540,293611,42502
28,1853,156,10/29/18,92882,293722,60028
29,1957,141,10/30/18,102834,293819,65545
30,2544,225,10/31/18,114039,294007,68447
31,3288,245,11/1/18,128502,294111,74260
32,2817,237,11/2/18,105906,294186,63746
33,4200,199,11/3/18,89639,294256,49127
34,5107,99,11/4/18,98021,294329,50713
35,776,31,11/5/18,47328,294396,33345
36,1186,29,11/6/18,56313,294442,40271
37,2590,189,11/7/18,112354,294527,67925
38,2191,146,11/8/18,103621,294595,64441
39,1064,63,11/9/18,54282,294647,36952
40,2649,132,11/10/18,63740,294689,37809
41,2763,78,11/11/18,64197,294744,36612
42,1707,79,11/12/18,79338,294792,51341
43,751,27,11/13/18,52453,294838,36957
44,935,30,11/14/18,70932,294882,49621
45,407,24,11/15/18,35594,294900,24948
46,761,48,11/16/18,49576,294915,34447
47,2257,56,11/17/18,61206,294951,37974
48,1916,45,11/18/18,55093,294988,34390
49,1522,84,11/19/18,83935,295037,54540
50,1259,37,11/20/18,75746,295070,51910
51,1050,39,11/21/18,58441,295112,40417
52,369,20,11/22/18,12626,295200,8798
53,597,26,11/23/18,23143,295439,16107
54,1137,41,11/24/18,32011,295530,20087
55,2521,36,11/25/18,60831,295688,34519
56,499,18,11/26/18,42333,296251,29189
57,802,31,11/27/18,74556,296351,49979
58,777,29,11/28/18,69352,296405,48433
59,1054,51,11/29/18,76715,296452,51468
60,1065,47,11/30/18,67098,296497,46001
61,2256,37,12/1/18,62304,296553,37989
62,554,11,12/2/18,26501,296584,18418
63,1308,62,12/3/18,85524,296664,53974
64,867,27,12/4/18,71843,296708,49058
65,814,38,12/5/18,67536,296753,46779
66,910,40,12/6/18,66885,296798,46543
67,948,52,12/7/18,63353,296843,43841
68,1271,46,12/8/18,44552,296867,29909
69,1064,23,12/9/18,40886,296897,27547
70,762,25,12/10/18,62699,296938,43358
71,823,20,12/11/18,68321,296974,47335
72,748,28,12/12/18,68600,297005,47717
73,593,14,12/13/18,57295,297042,40736
74,1137,44,12/14/18,66633,297078,44775
75,1902,45,12/15/18,57244,297119,36423
76,203,4,12/16/18,13599,297131,9835
77,909,32,12/17/18,66449,297173,45382
78,656,22,12/18/18,58360,297205,41703
79,877,22,12/19/18,63165,297238,44096
80,751,20,12/20/18,48713,297269,34026
81,481,24,12/21/18,34450,297290,23996
82,1088,25,12/22/18,36653,297327,24870
83,1298,37,12/23/18,35921,297355,22230
84,681,18,12/24/18,27246,297387,18990
85,1080,38,12/25/18,21483,297426,11177
86,1118,49,12/26/18,39176,297487,25358
87,1510,51,12/27/18,48943,297527,31169
88,334,25,12/28/18,17576,297555,12039
89,2677,104,12/29/18,54116,297622,29037
90,1562,51,12/30/18,37741,297682,22536
91,962,31,12/31/18,29794,297748,18936
0,2363,264,4/1/18,94040,257811,33148
1,297,20,4/2/18,50418,257889,22062
2,189,21,4/3/18,59477,257942,25883
3,611,48,4/4/18,80049,258025,36755
4,972,112,4/5/18,87382,258086,39814
5,918,101,4/6/18,83643,258143,35624
6,1661,129,4/7/18,79955,258231,33245
7,1271,75,4/8/18,67056,258324,28410
8,614,62,4/9/18,87612,258423,40509
9,475,37,4/10/18,89629,258498,43051
10,894,114,4/11/18,104081,258599,48612
11,1095,146,4/12/18,114400,258754,53168
12,3168,262,4/13/18,150894,258926,63503
13,7643,346,4/14/18,185232,259171,62595
14,525,21,4/15/18,58497,259252,20440
15,452,31,4/16/18,65284,259344,26288
16,589,85,4/17/18,104884,259470,44689
17,996,152,4/18/18,112664,259583,51110
18,407,52,4/19/18,79890,259704,38298
19,1241,133,4/20/18,101982,259820,47049
20,3142,214,4/21/18,179681,260015,63594
21,5399,265,4/22/18,149532,260257,54282
22,1976,191,4/23/18,131224,260545,57764
23,1529,159,4/24/18,126491,260740,58523
24,403,36,4/25/18,63086,260861,31213
25,2578,294,4/26/18,150788,261062,66074
26,823,70,4/27/18,85566,261172,39153
27,6129,369,4/28/18,158334,261434,56735
28,3594,266,4/29/18,130649,261651,44825
29,751,66,4/30/18,91215,261874,41074
30,3155,390,5/1/18,173896,262154,72035
31,3270,329,5/2/18,189852,262535,76773
32,2931,282,5/3/18,165326,262816,69053
33,3595,360,5/4/18,177291,263103,71197
34,6557,334,5/5/18,167568,263371,63325
35,3484,289,5/6/18,120205,263632,48993
36,2973,311,5/7/18,156297,263992,68915
37,3046,356,5/8/18,174749,264308,74310
38,3038,303,5/9/18,183295,264589,78454
39,2408,275,5/10/18,153260,264852,67454
40,4240,314,5/11/18,184114,265052,75262
41,2227,92,5/12/18,91563,265150,34535
42,1237,58,5/13/18,67247,265260,25985
43,2553,273,5/14/18,147144,265465,64727
44,1949,186,5/15/18,118790,265682,52826
45,493,45,5/16/18,75694,265811,32766
46,1755,113,5/17/18,107763,265936,49788
47,2663,240,5/18/18,146437,266075,63112
48,639,53,5/19/18,45461,266135,18026
49,5458,304,5/20/18,158983,266399,56946
50,3551,267,5/21/18,172936,266669,71218
51,1090,103,5/22/18,109420,266868,48508
52,2952,294,5/23/18,170812,267098,72653
53,3417,294,5/24/18,177631,267330,74808
54,4381,336,5/25/18,174715,267536,69342
55,6129,417,5/26/18,155957,267703,51592
56,1631,82,5/27/18,78075,267815,25813
57,5148,267,5/28/18,140226,268037,49040
58,2896,249,5/29/18,170334,268305,69090
59,2742,216,5/30/18,159297,268645,72321
60,1414,101,5/31/18,123710,268998,55798
61,3049,250,6/1/18,147780,269167,62890
62,5634,307,6/2/18,158528,269371,60287
63,3892,154,6/3/18,134416,269544,50041
64,2372,166,6/4/18,130774,269763,58910
65,2682,199,6/5/18,155007,269934,71906
66,2479,173,6/6/18,154726,270119,69797
67,2808,198,6/7/18,160532,270274,70478
68,3915,283,6/8/18,163188,270455,72696
69,6917,292,6/9/18,171623,270657,65239
70,3136,112,6/10/18,106867,270825,41639
71,3044,243,6/11/18,154381,271146,68060
72,3260,215,6/12/18,166828,271364,76255
73,2044,104,6/13/18,144934,271541,64270
74,3359,227,6/14/18,173109,271708,75803
75,4005,296,6/15/18,160081,271883,72417
76,7037,339,6/16/18,165240,272071,63182
77,5760,232,6/17/18,146611,272306,56218
78,2498,206,6/18/18,136481,272522,63551
79,2902,230,6/19/18,153883,272780,72168
80,2929,231,6/20/18,165836,272950,74088
81,3026,262,6/21/18,158375,273114,70050
82,3736,263,6/22/18,156062,273291,71084
83,4172,207,6/23/18,118620,273422,51028
84,5862,232,6/24/18,152057,273615,55775
85,3441,221,6/25/18,163026,273820,71747
86,3442,254,6/26/18,171973,274006,80643
87,2457,183,6/27/18,140557,274165,67647
88,1967,154,6/28/18,104860,274290,50431
89,3940,326,6/29/18,151785,274467,69856
90,5425,360,6/30/18,134347,274628,54713
0,123,7,1/1/2018,11483,253490,5499
1,125,12,1/2/2018,39352,253558,18818
2,164,4,1/3/2018,42853,253591,24299
3,2,1,1/4/2018,5328,253604,1922
4,14,0,1/5/2018,14303,253614,4972
5,9,2,1/6/2018,9479,253624,4294
6,41,4,1/7/2018,9387,253640,5640
7,45,4,1/8/2018,31294,253661,15820
8,112,17,1/9/2018,50981,253690,25090
9,142,18,1/10/2018,50218,253720,28252
10,244,15,1/11/2018,66584,253757,33961
11,152,16,1/12/2018,46403,253786,22252
12,355,31,1/13/2018,30418,253809,17758
13,183,9,1/14/2018,32949,253827,12394
14,150,8,1/15/2018,41770,253857,17637
15,189,13,1/16/2018,60053,253895,30278
16,52,12,1/17/2018,36319,253921,19010
17,92,18,1/18/2018,52573,253952,27662
18,216,15,1/19/2018,50322,253983,30525
19,1044,41,1/20/2018,59336,254025,28507
20,1013,26,1/21/2018,61571,254092,27908
21,345,25,1/22/2018,68638,254144,36864
22,179,19,1/23/2018,63693,254191,28796
23,232,32,1/24/2018,69596,254236,36078
24,181,16,1/25/2018,51927,254263,31147
25,313,23,1/26/2018,61857,254301,33073
26,1415,41,1/27/2018,70146,254368,34348
27,334,22,1/28/2018,38221,254415,20100
28,274,33,1/29/2018,68868,254466,36799
29,114,15,1/30/2018,59260,254492,27996
30,141,19,1/31/2018,54440,254539,31276
31,212,27,2/1/2018,66984,254590,35561
32,129,18,2/2/2018,50427,254620,26313
33,263,23,2/3/2018,40020,254640,18385
34,224,7,2/4/2018,35121,254670,13959
35,193,21,2/5/2018,56061,254725,29068
36,160,18,2/6/2018,68060,254760,34102
37,30,4,2/7/2018,31573,254781,15289
38,168,20,2/8/2018,60985,254806,31563
39,223,25,2/9/2018,57070,254833,31567
40,343,26,2/10/2018,37641,254857,16323
41,85,2,2/11/2018,21167,254877,8809
42,339,40,2/12/2018,68283,254922,35138
43,252,31,2/13/2018,69420,254968,35189
44,408,39,2/14/2018,80081,255002,39591
45,501,28,2/15/2018,88474,255044,44193
46,316,37,2/16/2018,57219,255088,29191
47,537,51,2/17/2018,38834,255118,17921
48,938,40,2/18/2018,50512,255151,21537
49,553,50,2/19/2018,62150,255217,25677
50,906,85,2/20/2018,98129,255306,44478
51,1596,77,2/21/2018,118306,255430,53110
52,147,18,2/22/2018,54857,255485,27010
53,165,22,2/23/2018,49639,255534,25633
54,956,51,2/24/2018,61251,255597,25550
55,231,18,2/25/2018,34052,255654,16149
56,448,54,2/26/2018,84614,255747,42570
57,664,48,2/27/2018,107682,255836,48514
58,637,52,2/28/2018,100855,255944,50707
59,571,45,3/1/2018,91489,256022,45562
60,21,7,3/2/2018,23277,256050,6855
61,851,56,3/3/2018,61107,256117,28361
62,704,33,3/4/2018,60490,256189,25262
63,357,47,3/5/2018,75190,256263,36774
64,516,27,3/6/2018,80995,256307,42688
65,16,7,3/7/2018,22312,256333,8188
66,188,17,3/8/2018,53403,256360,28440
67,344,43,3/9/2018,70068,256393,34912
68,689,43,3/10/2018,59343,256438,25443
69,1173,46,3/11/2018,67622,256517,27596
70,351,39,3/12/2018,76569,256578,36339
71,133,14,3/13/2018,46021,256623,23137
72,269,39,3/14/2018,62352,256673,35377
73,462,66,3/15/2018,72192,256724,39572
74,383,55,3/16/2018,62381,256763,34921
75,1015,56,3/17/2018,62524,256823,27671
76,839,36,3/18/2018,55182,256880,25158
77,544,39,3/19/2018,83086,256933,39278
78,187,17,3/20/2018,69573,256986,35532
79,3,1,3/21/2018,11799,257004,3755
80,216,25,3/22/2018,61715,257040,27308
81,543,55,3/23/2018,77668,257098,38527
82,1755,88,3/24/2018,79562,257167,34396
83,710,24,3/25/2018,62656,257226,25562
84,718,87,3/26/2018,88831,257315,40295
85,524,63,3/27/2018,88986,257378,41354
86,586,64,3/28/2018,80607,257447,41880
87,544,65,3/29/2018,84590,257501,39288
88,1006,147,3/30/2018,78825,257584,34784
89,3856,151,3/31/2018,109399,257701,41779
0,3511,235,10/1/17,139011,246193,55503
1,1408,242,10/2/17,141748,246402,65509
2,1258,194,10/3/17,135800,246566,69105
3,1377,188,10/4/17,150324,246742,71453
4,1365,251,10/5/17,150437,246893,70173
5,2104,383,10/6/17,148395,247025,70249
6,4996,356,10/7/17,153928,247206,63630
7,2233,192,10/8/17,100790,247336,41039
8,594,84,10/9/17,78912,247453,38390
9,2016,312,10/10/17,155978,247615,74117
10,1146,161,10/11/17,126748,247767,63587
11,1070,169,10/12/17,123433,247896,61244
12,1768,308,10/13/17,136608,248038,67016
13,3680,347,10/14/17,142476,248167,58771
14,3381,276,10/15/17,137364,248382,56529
15,997,192,10/16/17,125800,248552,61729
16,1030,170,10/17/17,122345,248712,64480
17,1202,249,10/18/17,147842,248878,70233
18,1491,274,10/19/17,143664,249016,72311
19,2246,351,10/20/17,157255,249162,72174
20,5093,276,10/21/17,169402,249378,65872
21,4596,200,10/22/17,153444,249596,62148
22,1659,279,10/23/17,143899,249825,69273
23,466,82,10/24/17,95599,249930,48077
24,1133,246,10/25/17,142007,250090,71284
25,973,191,10/26/17,123419,250187,64002
26,1991,352,10/27/17,139481,250319,69265
27,4306,317,10/28/17,143571,250499,61345
28,213,8,10/29/17,20810,250556,9537
29,771,121,10/30/17,95502,250681,49246
30,1076,166,10/31/17,115329,250892,60242
31,717,125,11/1/17,111304,250975,60772
32,1485,291,11/2/17,144455,251060,70810
33,2275,335,11/3/17,147055,251163,71817
34,3086,243,11/4/17,120119,251269,53433
35,1263,80,11/5/17,76281,251349,34943
36,1052,133,11/6/17,116318,251433,57606
37,643,77,11/7/17,69588,251487,36361
38,597,95,11/8/17,107852,251537,54211
39,837,171,11/9/17,113119,251591,58416
40,425,82,11/10/17,74794,251614,38432
41,832,64,11/11/17,55350,251657,28142
42,1191,62,11/12/17,73187,251699,32471
43,314,47,11/13/17,72112,251751,38752
44,493,59,11/14/17,95328,251802,52278
45,524,70,11/15/17,104590,251842,54230
46,521,74,11/16/17,93532,251884,49737
47,712,74,11/17/17,93476,251928,48989
48,872,53,11/18/17,58136,251965,27745
49,1020,64,11/19/17,66078,252008,31597
50,501,49,11/20/17,85295,252041,45120
51,960,69,11/21/17,95288,252075,52448
52,458,64,11/22/17,69530,252103,32297
53,806,103,11/23/17,32527,252115,13705
54,1129,95,11/24/17,64012,252151,23723
55,1995,85,11/25/17,73542,252184,30510
56,904,63,11/26/17,60652,252227,27180
57,553,46,11/27/17,99410,252277,46732
58,455,58,11/28/17,97329,252316,51166
59,638,71,11/29/17,107040,252365,55290
60,509,83,11/30/17,97110,252414,51699
61,695,123,12/1/17,99868,252473,50708
62,1513,100,12/2/17,83660,252514,38922
63,1037,66,12/3/17,77915,252561,33728
64,649,63,12/4/17,92142,252618,49630
65,381,57,12/5/17,85008,252686,41792
66,368,55,12/6/17,87328,252724,46335
67,427,65,12/7/17,94653,252761,45367
68,443,58,12/8/17,81217,252791,41330
69,112,15,12/9/17,20955,252811,10804
70,287,26,12/10/17,43621,252830,19815
71,456,38,12/11/17,81071,252869,41838
72,262,42,12/12/17,88499,252915,42620
73,155,20,12/13/17,60051,252942,32623
74,134,10,12/14/17,49648,252960,27494
75,130,9,12/15/17,41598,252980,22944
76,240,24,12/16/17,38766,252992,19060
77,343,27,12/17/17,49790,253011,22403
78,409,34,12/18/17,79914,253054,40168
79,541,42,12/19/17,97301,253087,49503
80,422,40,12/20/17,78833,253142,41461
81,386,47,12/21/17,70297,253180,37592
82,506,23,12/22/17,62387,253212,34338
83,112,10,12/23/17,24205,253228,9608
84,492,39,12/24/17,37985,253250,13215
85,439,27,12/25/17,26767,253293,6479
86,220,29,12/26/17,32919,253324,14113
87,234,33,12/27/17,31793,253346,16365
88,121,17,12/28/17,34438,253365,13419
89,177,17,12/29/17,29284,253395,13759
90,53,10,12/30/17,13910,253407,5956
91,94,2,12/31/17,18326,253443,6569
